keyword,searchField,filters,page,row,title,authors,source,publishTime,databaseType,detailUrl,duplicateUrl,rawText
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","1","5","全球本土化视角下核心素养框架的构建机制——以澳大利亚“核心学习技能”框架为例","张永军","世界教育信息","2025-09-10","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","独著；已下载PDF；预注册留出语料"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","1","10","中国基础教育数字化转型：现状研判及深化对策——基于全国21个省市中小学的调查研究","王素;苏红;袁野;张永军;康建朝","中国教育学刊","2024-02-10","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","课题组参与；本地PDF"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","1","11","澳大利亚STEM教育政策分析与启示","张永军","世界教育信息","2024-01-10","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","独著；已下载PDF；预注册留出语料"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","1","13","数字教育赋能教育强国的国际观察","李永智;秦琳;康建朝;张永军","电化教育研究","2023-10-26","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","明确合著；本地PDF"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","1","14","数字经济背景下澳大利亚教育信息化发展举措","张永军","中国教育信息化","2023-10-20","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","独著；已下载PDF；训练语料"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","1","18","科学教育：大国博弈的前沿阵地——国际科学教育战略与发展路径研究","王素;张永军;方勇;苏红;吴云雁","中国教育学刊","2022-10-10","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","课题组参与；本地PDF"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","1","19","国际比较视野下我国参与全球战略科技人才竞争的形势、问题与对策","秦琳;姜晓燕;张永军","国家教育行政学院学报","2022-08-15","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","明确合著；本地PDF"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","2","24","发达经济体国际教育合作与交流政策转型趋势研究","张永军","比较教育研究","2022-01-10","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","独著；本地PDF"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","2","33","“一带一路”沿线国家孔子学院发展现状、问题与改革路径","刘宝存;张永军","西南大学学报(社会科学版)","2019-03-01","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","明确合著；本地PDF"
"张永军","作者","机构=中国教育科学研究院;人工筛选=政策研究/国际比较/教育数字化","2","35","跨越中等收入陷阱：教育怎么“办”？","李婵娟;张永军","人民教育","2016-11-03","期刊","https://kns.cnki.net/kcms2/article/abstract?uniplatform=NZKPT&language=CHS","no","明确合著；本地PDF"
