指标,human均值,ai均值,ai/human
汉字数,4507.75,5710,1.27
句数,90.38,103.17,1.14
句长均值,49.58,55.42,1.12
句长标准差,27.49,30.2,1.1
句长变异系数CV,0.55,0.54,0.98
最长句,152.5,162.5,1.07
短句<15字占比%,6.49,6.35,0.98
长句>60字占比%,29.26,38.8,1.33
元话语宣告/千字,0.34,1.55,4.54
衔接对举/千字,0.89,0.8,0.9
类型命名领起/千字,0.25,0.86,3.42
自造X型词次数,0.88,4.33,4.95
自造X型词/千字,0.15,0.67,4.42
四字格(词表)/千字,1.39,0.25,0.18
四字并列对/千字,8.68,6.87,0.79
数字/千字,8.7,8.8,1.01
链式公式(A—B—C)次数,0,3.17,
段数,33.88,33.67,0.99
段均汉字,141.75,184.83,1.3
编号领起段占比%,41.65,40.98,0.98
段首显性元话语占比%,6.34,17.58,2.77
段首含数字/年份占比%,14.69,12.45,0.85
